LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CPI,TOT,AGRWTH,A,1956,1.525054,
USA,CPI,TOT,AGRWTH,A,1957,3.341508,
USA,CPI,TOT,AGRWTH,A,1958,2.729161,
USA,CPI,TOT,AGRWTH,A,1959,1.010684,
USA,CPI,TOT,AGRWTH,A,1960,1.457976,
USA,CPI,TOT,AGRWTH,A,1961,1.070724,
USA,CPI,TOT,AGRWTH,A,1962,1.198773,
USA,CPI,TOT,AGRWTH,A,1963,1.239669,
USA,CPI,TOT,AGRWTH,A,1964,1.278912,
USA,CPI,TOT,AGRWTH,A,1965,1.585169,
USA,CPI,TOT,AGRWTH,A,1966,3.015075,
USA,CPI,TOT,AGRWTH,A,1967,2.772786,
USA,CPI,TOT,AGRWTH,A,1968,4.271796,
USA,CPI,TOT,AGRWTH,A,1969,5.462386,
USA,CPI,TOT,AGRWTH,A,1970,5.838255,
USA,CPI,TOT,AGRWTH,A,1971,4.292767,
USA,CPI,TOT,AGRWTH,A,1972,3.272278,
USA,CPI,TOT,AGRWTH,A,1973,6.17776,
USA,CPI,TOT,AGRWTH,A,1974,11.0548,
USA,CPI,TOT,AGRWTH,A,1975,9.143147,
USA,CPI,TOT,AGRWTH,A,1976,5.744812,
USA,CPI,TOT,AGRWTH,A,1977,6.501684,
USA,CPI,TOT,AGRWTH,A,1978,7.630964,
USA,CPI,TOT,AGRWTH,A,1979,11.25447,
USA,CPI,TOT,AGRWTH,A,1980,13.5492,
USA,CPI,TOT,AGRWTH,A,1981,10.33471,
USA,CPI,TOT,AGRWTH,A,1982,6.131427,
USA,CPI,TOT,AGRWTH,A,1983,3.212435,
USA,CPI,TOT,AGRWTH,A,1984,4.300536,
USA,CPI,TOT,AGRWTH,A,1985,3.545644,
USA,CPI,TOT,AGRWTH,A,1986,1.898048,
USA,CPI,TOT,AGRWTH,A,1987,3.664563,
USA,CPI,TOT,AGRWTH,A,1988,4.077741,
USA,CPI,TOT,AGRWTH,A,1989,4.827003,
USA,CPI,TOT,AGRWTH,A,1990,5.397956,
USA,CPI,TOT,AGRWTH,A,1991,4.234964,
USA,CPI,TOT,AGRWTH,A,1992,3.02882,
USA,CPI,TOT,AGRWTH,A,1993,2.951657,
USA,CPI,TOT,AGRWTH,A,1994,2.607442,
USA,CPI,TOT,AGRWTH,A,1995,2.80542,
USA,CPI,TOT,AGRWTH,A,1996,2.931204,
USA,CPI,TOT,AGRWTH,A,1997,2.33769,
USA,CPI,TOT,AGRWTH,A,1998,1.552279,
USA,CPI,TOT,AGRWTH,A,1999,2.188027,
USA,CPI,TOT,AGRWTH,A,2000,3.376857,
USA,CPI,TOT,AGRWTH,A,2001,2.826171,
USA,CPI,TOT,AGRWTH,A,2002,1.586032,
USA,CPI,TOT,AGRWTH,A,2003,2.270095,
USA,CPI,TOT,AGRWTH,A,2004,2.677237,
USA,CPI,TOT,AGRWTH,A,2005,3.392747,
USA,CPI,TOT,AGRWTH,A,2006,3.225944,
USA,CPI,TOT,AGRWTH,A,2007,2.852673,
USA,CPI,TOT,AGRWTH,A,2008,3.8391,
USA,CPI,TOT,AGRWTH,A,2009,-0.3555463,
USA,CPI,TOT,AGRWTH,A,2010,1.640043,
USA,CPI,TOT,AGRWTH,A,2011,3.156842,
USA,CPI,TOT,AGRWTH,A,2012,2.069337,
USA,CPI,TOT,AGRWTH,A,2013,1.464833,
USA,CPI,TOT,AGRWTH,A,2014,1.622223,
USA,CPI,TOT,AGRWTH,A,2015,0.1186271,
USA,CPI,TOT,AGRWTH,A,2016,1.261583,
USA,CPI,TOT,AGRWTH,A,2017,2.13011,
USA,CPI,TOT,AGRWTH,A,2018,2.442583,
USA,CPI,TOT,AGRWTH,A,2019,1.81221,
USA,CPI,TOT,AGRWTH,A,2020,1.233584,
